target,tabpack,tabm,dcnv2,realmlp,gandalf,xgb_optuna,tabnet,resnet,catboost_optuna,fttransformer,tabr,xgb_default,lassonet
hsa-mir-340-3p,0.8976346837092962,0.8925637718918733,0.8673294478419421,0.8836692476936076,0.8903617294377826,0.8869148957314256,,0.8824393093416533,0.8734573732568893,0.8767761879817484,0.8878187719056353,0.849355345549282,0.8816061980854557
hsa-mir-200c-3p,0.8908560883230074,0.8850500512365962,0.8587458034075055,0.8721923903008983,0.8780315688056973,0.8799047533838913,,0.8843685581443217,0.8638819912195247,0.8655375908930126,0.8800341512599761,0.8511983132052104,0.8652231492479532
hsa-mir-363-3p,0.8836161406246923,0.8823294714053306,0.8683691192724571,0.8715040410082568,0.876004472530155,0.8740139878230786,,0.873686120492438,0.8647911011345731,0.8678487002514994,0.8828880061946766,0.8518183723188262,0.8651694512547348
hsa-mir-369-3p,0.8950855474813829,0.8984530585620967,0.8715519244553127,0.8790250365013065,0.877745310762143,0.8861726304299145,,0.8795305607507417,0.8797817888292292,0.8777125493731193,0.8900077954537753,0.8634300735902213,
hsa-mir-1180-3p,0.9090097996960972,0.9083457757377226,0.8815575587906028,0.9004941473001749,0.8957605088370773,0.8967619466956936,0.8960274881462702,0.8987385840885049,0.8802829179728688,0.8907968297422557,0.8952607460669683,0.8668243185010693,0.8924524333727322
hsa-mir-138-5p,0.908877035530036,0.9060559573317236,0.8884267543184297,0.9001579392863926,0.897674356195034,0.8920580167159522,0.8932915947483174,0.8967511719667878,0.8832542866748561,0.8931442559613545,0.9001802166702646,0.8693725454021384,
hsa-mir-590-5p,0.9096645884956586,0.9105879110970236,0.893237331630405,0.9019100288072744,0.8992696122749384,0.8930660380332611,,0.8988666611181383,0.874319006881118,0.8818330468239509,0.9030034839654536,0.8704484138660693,
hsa-mir-124-3p,0.8813992616422698,0.8813795925798269,0.8666996008174677,0.8774616136761682,0.8736044044658569,0.8795793362338993,0.8701177152407014,0.8661895803577384,0.874058200885108,0.8732961479182926,0.8793555650372815,0.8727823149160797,
hsa-mir-1185-1-3p,0.9035092527028582,0.9046223119643848,0.8886355560890993,0.894022138111609,0.8968944834458691,0.8925391795919176,0.8959649834191429,0.896724178903624,0.8843007454296878,0.897239559390656,0.8996251358539905,0.8778052633521289,
hsa-mir-22-5p,0.913081718257339,0.9091290531218216,0.8761434147128688,0.9058674096280784,0.8971773723509044,0.8999763887344512,,0.9040586376119256,0.8907150680417151,0.8942096745446342,0.9020582249055268,0.8789593593300498,0.8972809394531098
hsa-mir-129-1-3p,0.9012248073216956,0.8972492714303136,0.8902617291834325,0.8952522740324378,0.8954164962722433,0.8942553288048748,0.8836100834954067,0.8901402092820941,0.8926924219110292,0.895008797521065,0.8938357803855776,0.8848800389561832,0.890969663820446
hsa-mir-142-3p,0.9256616260781636,0.9247913370604766,0.9000585924206802,0.9230280814193292,0.9170927859357716,0.9098418244550884,0.9185892207008722,0.912313065421469,0.903955989199307,0.908931339927672,0.9177105215148452,0.8849896683198017,
hsa-mir-487a-3p,0.9120377043030816,0.9117789488894952,0.8987277285602999,0.9023502643160084,0.9026255051963374,0.905513425734114,,0.9009242787847634,0.9017716924366816,0.90399235781587,0.9056621557131128,0.8890401938384693,0.90323525187179
hsa-mir-411-5p,0.9180164502714068,0.9180941239861392,0.9061009749354818,0.91015909497136,0.9126850177185548,0.908383948885156,,0.9023458477339172,0.9023145084372468,0.9069951964833608,0.9187609987187096,0.8902534190214181,
hsa-mir-495-3p,0.9160885014883302,0.915664231721494,0.896501457899156,0.9093510041375114,0.9018725971084128,0.908510402310599,,0.902839864714617,0.9044163352006088,0.9020896030866956,0.9070540751684708,0.8935105881007013,
hsa-mir-18a-5p,0.9366322553884506,0.9359641905334164,0.9269264443328564,0.9274652325677912,0.9309857279122064,0.927781245714992,,0.932700551497179,0.9208799090472218,0.9284514955873148,0.9303676807780388,0.9150463018124326,
hsa-mir-486-5p,0.9408336180394764,0.9412680099056706,0.9245770510778792,0.932944038443326,0.9402847546150972,0.9361682118425236,,0.934288402417354,0.9324134327048448,0.934748434389959,0.9332037526775452,0.9227576386984728,
