target,fallback_best_solo,best_solo_model,ridge_intercept,ridge_alpha,tune_r2,coef_catboost_optuna,effective_catboost_optuna,coef_tabm,effective_tabm,coef_resnet,effective_resnet,abs_share_catboost_optuna,effective_share_catboost_optuna,abs_share_tabm,effective_share_tabm,abs_share_resnet,effective_share_resnet
hsa-mir-556-3p,False,,0.04446406142677928,0.01,0.40697630210925795,1.3777938401833498,1.3777938401833498,-0.030969842301968278,-0.030969842301968278,-0.330245239661462,-0.330245239661462,0.7922868149994794,0.7922868149994794,0.017808903627553836,0.017808903627553836,0.18990428137296692,0.18990428137296692
hsa-mir-582-5p,False,,0.03838211463839425,0.01,0.811535131509967,0.4443076288979666,0.4443076288979666,0.61535298727299,0.61535298727299,-0.0528660565501521,-0.0528660565501521,0.39936806891222004,0.39936806891222004,0.5531130195448792,0.5531130195448792,0.047518911542900784,0.047518911542900784
hsa-mir-590-5p,False,,0.4292089208727994,203.09176209047388,0.21772776147355855,0.3654962604514083,0.3654962604514083,0.3641518504243253,0.3641518504243253,0.21224660121394243,0.21224660121394243,0.38804364836120886,0.38804364836120886,0.3866163019605689,0.3866163019605689,0.22534004967822224,0.22534004967822224
hsa-mir-592,False,,0.12648171938673958,11.93776641714437,0.4910205671055564,-0.05362982896033781,-0.05362982896033781,1.0424596280429868,1.0424596280429868,0.031706246774867615,0.031706246774867615,0.04755278707009987,0.04755278707009987,0.9243337463963341,0.9243337463963341,0.028113466533565903,0.028113466533565903
hsa-mir-616-3p,True,resnet,0.07276536845847263,100.0,0.032382810412044605,0.13698684660239294,0.0,0.233870007730802,0.0,0.23258333753398838,1.0,0.22700981546907573,0.0,0.38756120471053507,0.0,0.3854289798203892,1.0
hsa-mir-624-3p,False,,0.0005966168809260208,2.0309176209047366,0.020801973522326267,0.28381871764814615,0.28381871764814615,0.35977368812541344,0.35977368812541344,0.2300414471499285,0.2300414471499285,0.32487147412887935,0.32487147412887935,0.41181289726981546,0.41181289726981546,0.26331562860130525,0.26331562860130525
hsa-mir-642a-5p,False,,0.4137695508544317,587.8016072274911,0.34529382068266423,0.3733068597374416,0.3733068597374416,0.22829600936040836,0.22829600936040836,0.3551049434143594,0.3551049434143594,0.3901994473706438,0.3901994473706438,0.2386266803455155,0.2386266803455155,0.3711738722838407,0.3711738722838407
hsa-mir-708-5p,False,,0.08509296046187398,2424.4620170823305,0.8265193472204897,0.3493776097287616,0.3493776097287616,0.28769090166499256,0.28769090166499256,0.33410239794524715,0.33410239794524715,0.35974884170135935,0.35974884170135935,0.2962309711900255,0.2962309711900255,0.34402018710861515,0.34402018710861515
hsa-mir-887-3p,False,,0.06094736266705714,142.51026703029993,0.21765853718277473,0.47310181398359674,0.47310181398359674,0.11337131550953962,0.11337131550953962,0.38470874936549976,0.38470874936549976,0.4871402816325208,0.4871402816325208,0.11673541071707104,0.11673541071707104,0.3961243076504081,0.3961243076504081
hsa-mir-99b-3p,False,,0.18363254719770472,49.238826317067414,0.07499915084482889,0.21445788920354064,0.21445788920354064,0.2339735937034322,0.2339735937034322,0.5534797925396735,0.5534797925396735,0.21404878302016966,0.21404878302016966,0.23352725878758884,0.23352725878758884,0.5524239581922414,0.5524239581922414
